时间	电压	电流	有功	频率	非驱	驱动	泵前	泵后	出站流量
0:00	8.2	72.3	347.4	68.6	0.6	1.2	0.0	0.4	5145.0
1:00	8.2	72.3	347.0	68.6	0.6	1.2	0.0	0.4	5174.0
2:00	8.2	72.3	347.2	68.7	0.6	1.2	0.0	0.4	5170.0
3:00	8.2	72.3	347.4	68.7	0.0	1.1	0.0	0.4	5110.0
4:00	8.2	72.3	347.4	68.7	0.5	1.1	0.0	0.4	5093.0
5:00	8.2	72.5	348.1	68.7	0.5	1.0	0.0	0.4	5178.0
6:00	8.2	72.5	348.7	68.7	0.5	1.0	0.0	0.4	5158.0
7:00	8.5	74.0	399.4	71.6	0.5	1.3	0.0	0.4	5684.0
8:00	8.5	74.0	399.5	71.6	0.5	1.3	0.0	0.4	5680.0
9:00	8.4	75.7	391.3	71.4	1.0	0.7	0.0	0.4	5595.0
10:00	8.4	75.6	390.0	71.4	1.0	0.6	0.0	0.4	5617.0
11:00	8.4	76.4	400.7	71.7	1.1	0.7	0.0	0.4	5637.0
12:00	8.4	76.6	400.8	71.7	1.1	0.7	0.0	0.4	5600.0
13:00	8.5	76.5	400.6	71.8	1.1	0.7	0.0	0.4	5672.0
14:00	8.5	76.5	396.4	71.7	1.1	0.6	0.0	0.4	5661.0
15:00	8.5	76.5	398.0	71.7	1.1	0.6	0.0	0.4	5772.0
16:00	8.5	76.6	397.8	71.7	1.1	0.6	0.0	0.4	5617.0
17:00	8.5	76.4	397.0	71.7	1.2	0.7	0.0	0.4	5686.0
18:00	8.5	76.4	397.0	71.7	1.0	0.6	0.0	0.4	5692.0
19:00	8.4	76.4	399.6	71.8	0.7	1.1	0.0	0.4	5780.0
20:00	8.4	76.4	399.2	71.7	0.7	1.1	0.0	0.4	5736.0
21:00	8.2	72.2	344.0	68.6	0.6	1.2	0.0	0.4	5119.0
22:00	8.2	72.3	346.9	68.6	0.6	1.2	0.0	0.4	5124.0
23:00	8.2	72.3	347.2	68.6	0.6	1.2	0.0	0.4	5127.0
0:00	8.3	73.1	352.0	69.1	1.0	0.6	0.0	0.4	5208.0
1:00	8.3	73.1	352.0	69.1	1.2	0.6	0.0	0.4	5214.0
2:00	8.3	73.1	352.0	69.1	1.2	0.6	0.0	0.4	5247.0
3:00	8.4	73.2	354.6	69.0	1.1	0.6	0.0	0.4	5171.0
4:00	8.3	73.0	352.8	69.0	1.1	0.7	0.0	0.4	5241.0
5:00	8.2	73.0	353.3	69.0	1.0	0.7	0.0	0.4	5169.0
6:00	8.2	72.7	353.3	69.2	1.0	0.5	0.0	0.4	5269.0
7:00	8.2	74.1	372.0	69.8	1.0	0.5	0.0	0.4	5407.0
8:00	8.2	74.2	372.0	70.3	1.0	0.7	0.0	0.4	5459.0
9:00	8.7	78.6	429.5	73.2	1.1	0.6	0.0	0.4	5914.0
10:00	8.7	80.5	450.6	74.4	1.2	0.7	0.0	0.4	6004.0
11:00	8.7	80.6	450.3	74.4	1.1	0.8	0.0	0.4	6212.0
12:00	8.8	80.3	450.9	74.4	1.1	0.8	0.0	0.4	6085.0
13:00	8.8	80.6	457.4	74.4	1.1	0.8	0.0	0.4	6194.0
14:00	8.9	81.5	467.3	75.2	1.2	0.9	0.0	0.4	6194.0
15:00	8.9	81.4	466.1	75.2	1.2	0.9	0.0	0.4	6330.0
16:00	8.9	80.5	450.0	74.4	1.2	0.7	0.0	0.4	6008.0
17:00	8.8	79.7	443.7	74.0	1.3	0.7	0.0	0.4	6050.0
18:00	8.8	79.8	443.7	74.0	1.3	0.7	0.0	0.4	6025.0
19:00	8.9	81.7	466.0	75.4	1.2	0.8	0.0	0.4	6235.0
20:00	8.9	81.5	467.2	75.5	1.3	0.6	0.0	0.4	6217.0
21:00	9.0	81.4	465.8	75.4	1.3	0.7	0.0	0.4	6220.0
22:00	8.8	78.6	425.0	73.4	1.1	0.7	0.0	0.4	5911.0
23:00	8.3	73.0	352.0	69.1	1.0	0.6	0.0	0.4	5279.0
0:00	8.4	74.4	371.3	70.0	1.1	0.6	0.0	0.4	5387.0
1:00	8.4	74.4	370.3	70.0	1.1	0.5	0.0	0.4	5397.0
2:00	8.2	72.2	2442.7	68.4	1.1	0.5	0.0	0.4	5153.0
3:00	8.3	72.8	350.7	68.8	1.1	0.7	0.0	0.4	5289.0
4:00	8.4	74.3	369.9	70.0	1.1	0.7	0.0	0.4	5384.0
5:00	8.4	74.4	370.0	70.0	1.2	0.6	0.0	0.4	5338.0
6:00	8.3	72.8	350.8	68.8	1.0	0.7	0.0	0.4	5137.0
7:00	8.7	78.1	420.3	72.8	1.3	0.7	0.0	0.4	5866.0
8:00	8.7	78.1	460.1	72.8	1.2	0.8	0.0	0.4	5787.0
9:00	8.4	76.1	395.5	71.4	1.0	0.8	0.0	0.4	5634.0
10:00	8.7	80.3	448.9	74.5	1.0	0.8	0.0	0.4	6102.0
11:00	8.7	80.5	450.8	74.4	1.0	0.8	0.0	0.4	6131.0
12:00	8.8	81.6	465.8	75.4	1.0	0.8	0.0	0.4	6238.0
13:00	8.8	81.7	465.1	75.3	1.0	0.8	0.0	0.4	6219.9
14:00	9.0	83.3	488.4	76.5	1.0	0.8	0.0	0.4	6429.0
15:00	9.0	83.4	489.8	76.6	1.0	0.8	0.0	0.4	6393.7
16:00	9.0	81.9	473.2	75.6	1.2	0.7	0.0	0.4	6276.0
17:00	8.9	82.7	481.0	76.1	1.2	0.7	0.0	0.4	6324.0
18:00	8.9	82.7	482.4	76.1	1.2	0.7	0.0	0.4	6301.0
19:00	8.9	83.2	489.2	76.4	1.6	0.8	0.0	0.4	6428.0
20:00	8.9	83.2	488.9	76.6	1.6	0.8	0.0	0.4	6431.0
21:00	9.0	83.4	489.9	76.4	1.6	0.8	0.0	0.4	6418.0
22:00	9.0	83.6	488.7	76.8	2.2	0.8	0.0	0.4	6088.0
23:00	8.9	80.9	457.4	74.8	2.2	0.8	0.0	0.4	6093.0
0:00	8.3	73.7	364.3	69.9	1.1	0.7	0.0	0.4	5337.0
1:00	8.3	73.4	355.9	69.4	1.0	0.6	0.0	0.4	5300.0
2:00	8.4	73.7	361.7	69.8	1.1	0.6	0.0	0.4	5374.0
4:00	8.4	74.3	367.7	70.0	1.0	0.6	0.0	0.4	5366.0
5:00	8.4	74.2	367.6	70.0	1.0	0.8	0.0	0.4	5293.0
6:00	8.4	73.2	368.7	70.0	1.0	0.8	0.0	0.4	5645.0
7:00	8.5	75.5	386.6	71.0	1.3	0.8	0.0	0.4	5673.0
8:00	8.7	78.3	424.1	73.1	1.2	0.7	0.0	0.4	5859.0
9:00	8.7	79.5	441.0	73.9	0.8	1.2	0.0	0.4	6063.0
10:00	8.7	81.3	460.8	75.1	0.8	1.2	0.0	0.4	6188.0
11:00	8.8	82.0	470.4	75.4	0.8	1.2	0.0	0.4	6222.0
12:00	8.9	81.9	471.8	75.4	0.8	1.2	0.0	0.4	6250.0
13:00	8.8	81.3	464.9	75.4	0.7	1.2	0.0	0.4	6309.0
14:00	8.9	83.1	484.3	76.4	0.8	1.4	0.0	0.4	6413.0
15:00	8.9	83.3	485.1	76.5	0.7	1.3	0.0	0.4	6475.0
16:00	9.1	84.2	499.7	77.2	0.7	1.3	0.0	0.4	6439.0
17:00	9.2	85.5	517.2	77.8	0.7	1.3	0.0	0.4	6674.0
18:00	9.2	85.5	517.6	77.8	0.7	1.3	0.0	0.4	6542.0
19:00	9.1	84.9	508.9	77.4	1.8	1.6	0.0	0.4	6213.0
20:00	8.7	80.1	443.7	74.4	1.8	1.6	0.0	0.4	5970.0
21:00	8.6	79.4	434.6	73.8	1.8	1.6	0.0	0.4	6058.7
22:00	8.7	80.4	448.0	74.4	1.2	0.8	0.0	0.4	6071.0
23:00	8.5	76.2	399.8	71.7	1.0	0.7	0.0	0.4	5678.0
0:00	8.5	74.6	374.0	70.4	1.3	2.0	0.0	0.4	5443.0
1:00	8.5	74.4	372.8	70.2	1.3	2.0	0.0	0.4	5348.0
2:00	8.4	73.5	359.2	69.7	1.3	2.0	0.0	0.4	5277.0
3:00	8.4	73.6	359.0	69.7	1.3	2.0	0.0	0.4	5297.0
4:00	8.4	73.5	358.7	69.4	1.3	2.0	0.0	0.4	5336.0
5:00	8.4	73.4	360.9	69.4	1.3	2.0	0.0	0.4	5335.0
6:00	8.4	73.4	360.8	69.4	1.3	2.0	0.0	0.4	5330.0
7:00	8.7	78.8	433.0	73.5	0.8	1.0	0.0	0.4	5979.0
8:00	8.7	78.8	434.0	73.4	0.8	1.0	0.0	0.4	5934.0
9:00	8.7	80.2	447.0	74.5	1.3	0.7	0.0	0.4	6101.0
10:00	8.8	81.9	469.0	75.5	1.3	0.8	0.0	0.4	6271.0
11:00	9.0	85.0	504.0	77.4	2.4	1.1	0.0	0.4	6510.0
12:00	9.0	84.8	505.3	77.3	2.2	1.0	0.0	0.4	6523.0
13:00	9.0	84.7	505.0	77.3	2.2	0.8	0.0	0.4	6481.0
14:00	9.0	84.8	501.7	77.4	2.4	0.8	0.0	0.4	6590.0
15:00	9.2	87.4	530.0	78.8	2.1	1.2	0.0	0.5	6710.0
16:00	9.2	87.2	535.9	79.0	1.7	1.0	0.0	0.5	6778.0
17:00	9.1	87.2	538.5	79.0	2.0	1.5	0.0	0.5	6767.0
18:00	9.1	87.5	537.9	79.0	2.0	1.2	0.0	0.5	6803.0
19:00	9.1	88.3	537.5	79.6	1.3	2.0	0.0	0.5	6811.0
20:00	8.9	82.3	471.6	75.8	1.3	2.0	0.0	0.4	6254.0
21:00	8.9	82.4	474.6	75.6	1.3	2.0	0.0	0.4	6311.0
22:00	8.8	82.3	474.8	76.0	1.3	2.0	0.0	0.4	6264.0
23:00	8.7	80.6	529.9	73.2	1.3	2.0	0.0	0.4	6002.0
0:00	8.4	73.7	362.0	69.7	1.0	0.7	0.0	0.4	5362.0
1:00	8.4	74.3	368.0	70.2	1.0	0.7	0.0	0.4	5340.0
2:00	8.4	74.2	371.0	70.2	1.1	0.6	0.0	0.4	5380.0
3:00	8.4	74.1	367.0	70.0	1.2	0.6	0.0	0.4	5389.0
4:00	8.4	74.1	368.0	70.0	1.2	0.6	0.0	0.4	5438.0
5:00	8.4	73.9	367.0	69.9	1.2	0.6	0.0	0.4	5404.0
6:00	8.3	74.0	364.0	70.0	1.1	0.8	0.0	0.4	5372.0
7:00	8.4	75.7	390.0	71.2	1.1	0.7	0.0	0.4	5564.0
8:00	8.7	80.5	451.0	74.6	1.3	0.8	0.0	0.4	5950.0
9:00	8.5	78.8	431.0	73.4	1.2	0.7	0.0	0.4	5879.0
10:00	8.6	79.0	431.2	73.4	1.2	0.7	0.0	0.4	5951.0
11:00	8.6	78.8	430.9	73.4	1.2	0.7	0.0	0.4	5956.0
12:00	8.7	79.5	438.1	73.8	1.2	0.7	0.0	0.4	5944.0
13:00	8.8	80.2	451.0	74.4	1.3	0.6	0.0	0.4	6043.0
14:00	8.8	80.2	451.0	74.4	1.3	0.6	0.0	0.4	6081.0
15:00	8.8	81.0	457.3	75.0	1.3	0.6	0.0	0.4	6180.0
16:00	8.8	81.0	457.1	75.0	1.3	0.6	0.0	0.4	6177.0
17:00	8.8	80.7	455.1	75.0	1.3	0.6	0.0	0.4	6054.0
18:00	8.8	80.4	451.0	74.4	1.4	0.9	0.0	0.4	6031.0
20:00	8.9	80.4	449.0	74.5	1.3	0.7	0.0	0.4	6029.0
21:00	8.8	78.8	408.0	73.3	1.1	0.8	0.0	0.4	5801.0
22:00	8.7	77.1	397.0	72.1	1.2	0.7	0.0	0.4	5702.0
23:00	8.5	74.5	370.4	70.1	1.0	0.7	0.0	0.4	5377.0
0:00	8.5	75.4	387.8	71.0	1.2	0.7	0.0	0.4	5576.0
1:00	8.6	76.0	389.2	71.0	1.0	0.7	0.0	0.4	5611.0
2:00	8.5	75.6	388.7	71.0	1.0	0.6	0.0	0.4	5624.0
3:00	8.5	75.2	380.5	70.6	1.1	0.8	0.0	0.4	5509.0
4:00	8.4	74.1	366.5	69.8	1.1	0.8	0.0	0.4	5334.0
5:00	8.4	74.6	372.8	70.2	1.2	0.7	0.0	0.4	5474.0
6:00	8.4	75.0	381.2	70.6	1.0	0.6	0.0	0.4	5528.0
7:00	8.6	79.2	436.4	73.6	1.0	0.8	0.1	0.4	5893.0
8:00	8.7	81.0	461.4	75.0	1.3	0.8	0.0	0.4	6184.0
9:00	8.7	80.7	458.8	74.6	1.2	0.8	0.0	0.4	6097.0
10:00	8.9	82.5	476.6	75.9	1.3	0.9	0.0	0.4	6609.0
11:00	8.9	82.7	482.0	76.0	1.2	0.9	0.0	0.4	6401.0
12:00	8.9	82.7	483.1	76.2	1.4	1.1	0.0	0.4	6449.0
13:00	8.9	82.7	480.8	76.1	1.4	1.1	0.0	0.4	6397.0
14:00	9.0	83.4	488.5	76.4	1.4	1.0	0.0	0.4	6374.0
15:00	9.0	83.4	489.2	76.6	1.4	1.0	0.0	0.4	6421.0
